x-axis,MATH
Hertz,dBV
+55.700E+03,-67.46875E+00
+55.800E+03,-65.94531E+00
+55.900E+03,-64.38281E+00
+56.000E+03,-62.78125E+00
+56.100E+03,-61.60938E+00
+56.200E+03,-60.55469E+00
+56.300E+03,-59.61719E+00
+56.400E+03,-58.79688E+00
+56.500E+03,-58.05469E+00
+56.600E+03,-57.27344E+00
+56.700E+03,-56.57031E+00
+56.800E+03,-55.98438E+00
+56.900E+03,-55.47656E+00
+57.000E+03,-55.08594E+00
+57.100E+03,-54.92969E+00
+57.200E+03,-54.85156E+00
+57.300E+03,-54.92969E+00
+57.400E+03,-55.08594E+00
+57.500E+03,-55.39844E+00
+57.600E+03,-55.82813E+00
+57.700E+03,-56.29688E+00
+57.800E+03,-56.80469E+00
+57.900E+03,-57.39063E+00
+58.000E+03,-58.01563E+00
+58.100E+03,-58.56250E+00
+58.200E+03,-59.10938E+00
+58.300E+03,-59.65625E+00
+58.400E+03,-60.16406E+00
+58.500E+03,-60.55469E+00
+58.600E+03,-60.86719E+00
+58.700E+03,-61.21875E+00
+58.800E+03,-61.60938E+00
+58.900E+03,-62.00000E+00
+59.000E+03,-62.39063E+00
+59.100E+03,-62.97656E+00
+59.200E+03,-63.75781E+00
+59.300E+03,-64.73438E+00
+59.400E+03,-65.94531E+00
+59.500E+03,-68.71875E+00
+59.600E+03,-71.60938E+00
+59.700E+03,-74.10938E+00
+59.800E+03,-76.21875E+00
+59.900E+03,-77.93750E+00
+60.000E+03,-76.21875E+00
+60.100E+03,-73.64063E+00
+60.200E+03,-70.63281E+00
+60.300E+03,-67.23438E+00
+60.400E+03,-63.44531E+00
+60.500E+03,-61.57031E+00
+60.600E+03,-59.96875E+00
+60.700E+03,-58.60156E+00
+60.800E+03,-57.46875E+00
+60.900E+03,-56.57031E+00
+61.000E+03,-55.71094E+00
+61.100E+03,-54.96875E+00
+61.200E+03,-54.30469E+00
+61.300E+03,-53.79688E+00
+61.400E+03,-53.36719E+00
+61.500E+03,-53.05469E+00
+61.600E+03,-52.74219E+00
+61.700E+03,-52.50781E+00
+61.800E+03,-52.35156E+00
+61.900E+03,-52.15625E+00
+62.000E+03,-51.92188E+00
+62.100E+03,-51.72656E+00
+62.200E+03,-51.53125E+00
+62.300E+03,-51.33594E+00
+62.400E+03,-51.17969E+00
+62.500E+03,-51.06250E+00
+62.600E+03,-50.94531E+00
+62.700E+03,-50.86719E+00
+62.800E+03,-50.82813E+00
+62.900E+03,-50.75000E+00
+63.000E+03,-50.75000E+00
+63.100E+03,-50.75000E+00
+63.200E+03,-50.82813E+00
+63.300E+03,-50.94531E+00
+63.400E+03,-51.17969E+00
+63.500E+03,-51.45313E+00
+63.600E+03,-51.80469E+00
+63.700E+03,-52.19531E+00
+63.800E+03,-52.66406E+00
+63.900E+03,-53.17188E+00
+64.000E+03,-53.71875E+00
+64.100E+03,-54.34375E+00
+64.200E+03,-55.00781E+00
+64.300E+03,-55.75000E+00
+64.400E+03,-56.64844E+00
+64.500E+03,-57.54688E+00
+64.600E+03,-58.44531E+00
+64.700E+03,-59.34375E+00
+64.800E+03,-60.28125E+00
+64.900E+03,-61.17969E+00
+65.000E+03,-61.92188E+00
+65.100E+03,-62.46875E+00
+65.200E+03,-62.93750E+00
+65.300E+03,-63.05469E+00
+65.400E+03,-62.66406E+00
+65.500E+03,-62.15625E+00
+65.600E+03,-61.57031E+00
+65.700E+03,-60.82813E+00
+65.800E+03,-60.08594E+00
+65.900E+03,-59.50000E+00
+66.000E+03,-58.99219E+00
+66.100E+03,-58.52344E+00
+66.200E+03,-58.09375E+00
+66.300E+03,-57.82031E+00
+66.400E+03,-57.66406E+00
+66.500E+03,-57.62500E+00
+66.600E+03,-57.62500E+00
+66.700E+03,-57.78125E+00
+66.800E+03,-57.97656E+00
+66.900E+03,-58.25000E+00
+67.000E+03,-58.60156E+00
+67.100E+03,-58.99219E+00
+67.200E+03,-59.46094E+00
+67.300E+03,-59.96875E+00
+67.400E+03,-60.47656E+00
+67.500E+03,-61.06250E+00
+67.600E+03,-61.68750E+00
+67.700E+03,-62.31250E+00
+67.800E+03,-63.21094E+00
+67.900E+03,-64.03125E+00
+68.000E+03,-64.77344E+00
+68.100E+03,-65.43750E+00
+68.200E+03,-66.02344E+00
+68.300E+03,-66.10156E+00
+68.400E+03,-66.02344E+00
+68.500E+03,-65.86719E+00
+68.600E+03,-65.63281E+00
+68.700E+03,-65.28125E+00
+68.800E+03,-65.00781E+00
+68.900E+03,-64.77344E+00
+69.000E+03,-64.53906E+00
+69.100E+03,-64.30469E+00
+69.200E+03,-64.07031E+00
+69.300E+03,-63.99219E+00
+69.400E+03,-63.87500E+00
+69.500E+03,-63.75781E+00
+69.600E+03,-63.60156E+00
+69.700E+03,-63.44531E+00
+69.800E+03,-63.17188E+00
+69.900E+03,-62.85938E+00
+70.000E+03,-62.46875E+00
+70.100E+03,-62.07813E+00
+70.200E+03,-61.53125E+00
+70.300E+03,-60.94531E+00
+70.400E+03,-60.28125E+00
+70.500E+03,-59.61719E+00
+70.600E+03,-58.91406E+00
+70.700E+03,-58.25000E+00
+70.800E+03,-57.66406E+00
+70.900E+03,-57.11719E+00
+71.000E+03,-56.57031E+00
+71.100E+03,-56.06250E+00
+71.200E+03,-55.67188E+00
+71.300E+03,-55.32031E+00
+71.400E+03,-55.00781E+00
+71.500E+03,-54.77344E+00
+71.600E+03,-54.61719E+00
+71.700E+03,-54.61719E+00
+71.800E+03,-54.65625E+00
+71.900E+03,-54.73438E+00
+72.000E+03,-54.81250E+00
+72.100E+03,-54.96875E+00
+72.200E+03,-55.04688E+00
+72.300E+03,-55.12500E+00
